HYPO	PARAPHRASES	MINIMAL UNITS CORPUS
I couldn't believe how large the size of the potatoes was.  	I was impressed with how large the size of the potatoes was.	I couldn't believe their stories.
You could have knocked me over with a feather.     	You could have easily knocked me over.	Someone was tickling me with a feather.
I'm dissolving into a puddle.       	I'm over-heated.	My pudding was slowly dissolving into a puddle of watery gravy.
"Their headmaster was omnipresent, as he seemed to be all around the school all the time. "	Their headmaster seemed to be all around the school all the time.	A part of Europe is different for the omnipresent nature of its pollution.
My aim is as certain as the rising sun.  	My aim is very certain.	"Outside the weather is beautiful, blue sky and rising sun."
My granpa snores louder than a faulty engine.   	My grandpa snores very loudly.	It was a case of mea culpa rather than a faulty machine.
I could smell his hellish breath.    	I could smell his horrible breath.	Hellish flames smothered the angelic figures in the painting.
Your pride is a mortal sin.    	Your pride is bad.	The Bible describes sins as mortal.
My admiration for him is deep as the ocean.  	My admiration for him is profound.	His eyes are as blue as the ocean.
"Well, dear, her hostess would reply with a frigid smile.  "	"Well, dear, her hostess would reply with a cold smile."	"In this frigid season, crowds lined up to buy milk."
Boys will gladly go to war for you.        	Boys will happily do accept challenges for you.	Militias would go to war again.
"Me, the wife of that boorish, brainless man.    "	"Me, the wife of that boorish, unwise man."	Search engines are brainless entities.
"As a matter of fact, I'm all steamed up about it.   "	"As a matter of fact, I'm all enthusiastic about it."	The window of the cafe was steamed up.
Tastiest roast of all times.         	Tastiest roast I've had.	British Empire has been the largest of all times.
I mean this was Toyland in the midst of the depression.   	I mean this was something fun in the midst of the depression.	"In his dreams, Toyland was a place where all the toys lived together."
You can search in heaven and earth but you'll not find me.  	You can search everywhere but you'll not find me.	The described events in heaven and earth are related in a symbolic sense.
ABU is hypnotically drawn to it.      	ABU is drawn to it.	The victim is hypnotically put to sleep.
People bend to his will.      	People tend to do what he wants.	I had to bend to look under a low archway.
She can make me follow her with one word from her lips.    	She can make me follow her easily.	The queen can put anyone to death with one word from her lips.
That girl is a marionette who is manipulated by what she sees on TV.  	That girl is manipulated by what she sees on TV.	"I am fascinated by the construction, whether it is a marionette or a doll."
He changed his mind in the blink of an eye.     	He changed his mind very fast.	Optimal solutions are achieved by neural networks in the blink of an eye.
"You won't beat this taste, it is insurmountable.    "	"You won't beat this taste, it is amazing."	Intact skin is an insurmountable barrier to the virus.
Its golden roofs are brighter than the sun itself.  	Its golden roofs are very bright.	There exists a system generating light brighter than the sun.
I would recognize my sisters a day's march away.  	I would recognize my sisters from a long distance.	The next settlement is a day's march away.
"He is so majestic, when he wears a yellow shirt people yell: ""Hey taxi!""   "	He is so majestic.	"In New York, people yell ""Hey taxi!"" and they soon get a ride."
You're charged with high treason for telling mom I didn't have lunch!    	You're in a lot of troubles for telling mum I didn't have lunch!	The murderer would be charged with high treason.
She's a difficult person to work with because she has no filters.   	She's a difficult person to work with because she is very direct when conversing.	My camera has no filters.
The study of beauty is a duel in which the artist cries out in terror.      	The study of beauty is a duel in which the artist suffers.	"Sitting on her knees, the artis cries out in terror."
You always concentrate my whole senses.    	You have my attention.	My whole senses were on high alert.
No one knows her. She's mysterious as the dark side of the moon.  	No one knows her. She's very mysterious.	The dark side of the Moon is covered in craters.
Another idea burst into flames.    	Another idea gone wasted.	The bomb burst into flames.
"Stop using onion in this recipe, you dregs of mankind.   "	Stop using onion in this recipe you terrible people.	This judge does not tolerate robbers and other dregs of mankind.
Each of these girls is a perfect porcelain doll.   	Each of these girls is delicate and lovely.	A perfect porcelain doll has no cracks.
They sell books by every author who has ever set pen to paper.  	They sell books by a great number of authors.	Every poet who has ever set pen to paper knows how to write.
The meal I prepared contains a million calories!   	The meal I prepared is rich in calories!	I can eat about a million calories a year and maintain my weight.
Scientists are light years away from understanding the human brain.    	Scientists are far away from understanding the human brain.	Hydrogen shows the cloud to be light years away from the earth.
To infinity and beyond Buzz.     	Let's go as far as we can Buzz.	
John invariably knows the right thing to say.    	John usually knows the right thing to say.	Her associates were invariably businessmen.
A sea of people surrounded the stage.      	A large number of people surrounded the stage.	The sea soughed on the shore.
Such an unscrupulous person...he's a pig.   	Such an unscrupulous person...he's disrespectful.	"Mr. Babe is my pet, he's a pig from Guinea."
Look how grown up!Only yesterday you were on your tricycle.   	Look how grown up! It wasn't that long ago that you were on your tricycle.	"Only yesterday, I ordered the registration of children."
Sleeping on this pillow is sleeping on a cloud.     	Sleeping on this pillow is sleeping on something very soft.	Flying over a cloud is not risky.
For a few dollars they would start a war.      	For a few dollars they would fight.	They would start a war to take the counties.
The big bells as loud as the thunder.        	The big bells very loud.	All those weapons emitted a blast as loud as the thunder.
That child is the devil incarnate.       	That child is a trouble maker.	The snake in the Genesis was the devil incarnate.
They are a stingy family. There are like trillions of savings under one roof!  	They are a stingy family. There are a lot of savings under one roof!	There are like trillions of possible combinations of such digits.
"When you open this map, you own the city.  "	"When you open the map, you know a lot about the city."	Freehold means you own the land.
"I tried to explain myself, but she is a waxy-eared person.   "	"I tried to explain myself, but she doesn't want to listen."	Waxy-eared persons should go to the otolaryngologist.
I write my diary when I feel crushed by the weight of life.  	I write my diary when I feel under pressure.	The bin is crushed by the weight of the roof.
My sister uses so much makeup; she broke a chisel trying to get it off last night!   	My sister uses so much makeup; she had difficulty trying to get it off last night!	My sister broke a chisel trying to carve wood.
"My aunt is so fat that when she walks by the TV, I miss three shows.      "	"My aunt is so fat that when she walks by the TV, I can't see the screen."	"If she comes for dinner, I'll miss three shows."
The old man is a dinosaur.   	The old man is very old.	A paleontologist was holding the bone of a dinosaur.
"My best friend is so forgetful, I sometimes have to remind her what her name is. "	"My best friend is so forgetful, I have to remind her of many things."	I forgot what her name is.
Your kindness turns me upside down.    	Your kindness astounds me.	I like it when a roller coaster turns me upside down.
Cowards die many times before their death.  	Cowards do not live their lives to the fullest.	Your character die many times in the game.
He lives far away - on the other side of the Galaxy.   	He lives far away - a large distance from here.	Astronomers have found five Cepheids on the other side of the galaxy.
Peter's essay constituted yet another infinite monologue.   	Peter's essay constituted yet another long monologue.	Scientists study the infinite variety of combinations of neurones.
"During the debate, the president ate reporters and photographers.  "	"During the debate, the president treated reporters and photographers badly."	The president ate pasta for dinner.
"You must come out of bed, I've walked a thousand miles to spend some time with you.  "	"You must come out of bed, I've walked a long way to spend some time with you."	This street is three thousand miles long.
"Right now, with the sword hanging over my head, I don't have any kind of financial support.   "	"Right now, in this risky situation, I don't have any kind of financial support."	"There's a sward hanging over my head, there on the wall."
"She's bothered by dust, so she's unceasingly cleaning the house.  "	"She's bothered by dust, so she's frequently cleaning the house."	The universe is unceasingly moving toward more disorder.
Let me see an abyss of knowledge.  	Let me see a vast amount of knowledge.	Invite a seafarer and explore the abyss of the ocean together.
I'll persevere till the stars drop from the sky. 	I'll persevere for a long time.	You could see falling stars that drop from the top of the picture.
There lived a man as big as a barge.  	There lived a large man.	The dinosaur was as big as a barge.
I've got a thorn in my heart.    	I've got sorrow in my heart.	I have a thorn stuck in my finger.
Perfection assassinates creativity.  	Perfection is not good for creativity.	The wrestler was asked to assassinate his opponent.
I don't think a herd of elephants would be as noisy as this class is today!  	This class is very noisy today!	A herd of elephants was drinking from a lake.
He's the worst man on earth.   	He is a bad man.	This city is the worst on earth with respect to air pollution levels.
She's like vomiting all her feelings out with hate.  	She's expressing all her feelings out loud with hate.	Vomiting accompany the first months of pregnancy.
Reading dog food labels is often like reading hieroglyphics.     	Reading dog food labels is hard to understand.	Researchers have succeeded in reading Egyptian hieroglyphics.
I'll be crystal clear: I don't like him.       	I'll be clear: I don't like him.	The shelves contained crystal clear glasses.
Turning your face away is a punch in the gut.      	Turning your face away is insulting.	The boxer threw a punch in the gut of his opponent.
The painter knows that looking at the beautiful landscape is an orgasmic experience.  	The painter knows that looking at the beautiful landscape is an enjoyable experience.	Low orgasmic experience has been related to childhood loss.
Too many clothes in this Indian Summer and I am suddenly in a bath of sweat.   	Too many clothes in this Indian summer and I am sweating a lot.	I sit in a bath of warm water.
The president has fought tooth and nail to be reelected.    	The president has fought really hard to be reelected.	The tooth and nail brushes were manufactured by the firm of Addis.
"I'm a burst of colors today, I'm wearing a yellow t-shirt and red trousers.  "	"I'm very colorful today, I'm wearing a yellow t-shirt and red trousers."	There is a burst of color in the messy room of the painter.
She's a dictator in our house.        	She's a ruler in our house.	The military dictator urged supporters to defeat the indecisive ones.
Molasses buckets appeared from nowhere.    	Molasses buckets appeared unexpectedly.	One view is that the big-bang that came from nowhere.
He's my favourite person in the world. The rest is drips.    	He's my favourite person in the world. The rest is not important.	When it brews there is drips of water coming out.
"You get into that University, you won't get out alive.    "	"You get into that University, you won't make it."	"Life is cruel, after all you won't get out alive!"
This discovery is like a tender newborn to young scientists.   	This discovery is very precious to young scientists.	The tender newborn is sleeping quietly.
This dirty money we're using to finance the campaign is a ticking time bomb!    	This dirty money we're using to finance the campaign is a risk!	The party continued until a ticking time bomb exploded.
"New hair, new life.   "	New hair will feel like a fresh start.	New life springs forth in the desert.
"Your plan is too risky, it's a suicide.   "	"Your plan is too risky, it's dangerous."	On every occasion there was a suicide attempt.
"I just can't seem to forget him, he contaminates my head.     "	"I just can't seem to forget him, I keep on thinking about him."	Mercury contaminates mostly fish and fishery products.
The bad sides are so overpowering that she can't see anything else.  	The bad sides are so overpowering that she finds it difficult to concentrate on anything else.	She can't see the red signal.
You have ravished me away by a power I am unable to resist.    	You have ravished me away by a power I find difficult to resist.	I am unable to be at two places at the same time.
"I'm half dead, for Christ's sake!    "	"I'm very tired, for Christ's sake!"	Zombies are half dead.
"When the last light set, it was like the whole world stopped.   "	"When the last light set, it was beautiful."	The whole world stopped producing this car.
This is one breathtaking panorama.        	This is one beautiful panorama.	I received a punch in the stomach. The pain was breathtaking.
Admit you're a Judas.        	Admit that you're a traitor.	Judas Iscariot hanged himself.
Once I would open a bag I could not stop eating.   	Once I would open the bad I would not want to stop eating.	A lack of control is felt as if one could not stop eating.
She's drinking like tomorrow doesn't exist.    	She's drinking heavily.	Tomorrow doesn't exist yet.
"If you leave me, I'll erase you.      "	"If you leave me, I'll forget about you."	Both the commands will erase the content of the file.
"And his sensibility, oh, he must be related to those machines that register earthquakes. "	"And his sensibility, oh, he must be very sensitive."	The geologist was using those machines that register earthquakes.
You are what you eat.    	What you eat affects you.	These answers are what we wanted to hear.
He only sees himself.     	He only cares about himself.	He only sees himself as a normal guy.
The sight of them kissing is so gross that it makes me want to puke.  	The sight of them kissing is so gross that it makes me feel disgusted.	"If I'll feel sick, I won't puke."
"Since you stopped partying, you're a nullity.    "	"Since you stopped partying, you're boring."	Judgments obtained by fraud on court will become a nullity.
TV is bombarding us with subliminal messages.   	TV is providing us with subliminal messages.	Militaries were bombarding the town.
The secretary was up to her eyeballs in paperwork.  	The secretary had a lot of paperwork.	The victim was splattered with blood up to her eyeballs.
"He looked at the glass, and lowered his lips to that oasis of moisture.   "	"He looked at the glass, and lowered his lips to the water."	These steam seeps provide an oasis of moisture in the desert.
It is idle to swallow the cow and choke on the tail.   	It is idle to swallow big problems and choke on small ones.	An anaconda tried to swallow the cow.
I'm not staying here one more minute!      	I'm not staying here any longer!	I'm allowed one more minute after the bell.
Junk food is the one thing they'll buy in spades.  	Junk food is the one thing they'll buy in large quantities.	Farmers used long-handled spades for digging.
"I swear, my teacher is omniscient.        "	"I swear, my teacher knows a lot."	The girl believed Santa Claus is omniscient.
"Your beard is so hairy, you look like Chewbacca.   "	Your beard is very hairy.	Chewbacca had a big furry.
Don't strain at gnats and swallow camels. There are worse problems than that around here.  	Don't make a big deal about little things. There are worse problems than that around here.	The bow can be made to strain the string to its breaking point.
"Sad to say, but she was a relentless drinker.      "	"Sad to say, but she was a constant drinker."	I came to watch the relentless forming and breaking-up of waves.
"Dresden was kind of the moon, nothing but minerals.   "	"Dresden was kind of the moon, it did not have many appeals."	Precious stones are nothing but minerals.
And with all this romantic atmosphere disaster's in the air.    	And with all this romantic atmosphere something could go wrong.	There was a climatic disaster.
The perfect pound cake recipe is worth its weight in gold.   	The perfect pound cake recipe is valuable.	A true diamond is worth its weight in gold.
My professor is a volcano of ideas.   	My professor is very creative.	Elgon is the remains of an ancient volcano.
Shuttling between conferences over the past years has been an interstellar enterprise.  	Shuttling between conferences over the past years has been an overwhelming enterprise.	The target of early interstellar missions is to find nomadic planets.
The mail was taking on Alpine proportions.   	The mail was taking on large proportions.	Urals are the remains of mountains that must have been of Alpine proportions when new.
That runner is faster than light.   	That runner is very fast.	It is possible for a particle to travel faster than light.
They will die of envy.      	They will be very envious.	People will die of cholera and other epidemics.
The gladiator beated all his opponents with his superhuman strength. 	The gladiator beated all his opponents with his great strength.	Absolute symmetry tends to be superhuman.
"Whenever I watch the movie, that scene kills me.    "	"Whenever I watch the movie, that scene strikes me."	Drinking kills me slowly.
I'm so thirsty that I would drink a river.     	I'm so thirsty that I would drink a large amount of water.	People had to drink water from a river nearby.
Her anger radiated like a nuclear explosion.    	Her anger radiated strongly.	Only one girl survived the nuclear explosion.
This confection has been around a few centuries in my house.  	This confection has been around for so long in my house.	The hillsides have been covered a few centuries ago.
Anna cried blood tears before obtaining her bachelor's degree.  	Anna worked really hard before obtaining her bachelor's degree.	Believers swear the statue was crying blood tears.
Her skin was whiter than snow.   	Her skin was very fair.	This milk is whiter than snow on the sidewalk.
He was skinny enough to jump through a keyhole.  	He was skinny enough to jump through a small hole.	I could see daylight through a keyhole.
My mother is a tyrant.    	My mother is authoritarian.	The strategy may prevent rebellion in the circumstance of some cruel tyrant.
Changing your favorite team is like breaking a blood oath.  	Changing your favorite team is like breaking a promise.	Breaking a blood oath was punished.
In my family every birthday is a national holiday.    	In my family every birthday is a big event.	The prince's marriage will be marked by a national holiday.
Inviting my mother-in-law to stay here is a recipe for disaster. 	Inviting my mother-in-law to stay here is bad idea.	Limitation on employment and property ownership were a recipe for disaster in the country.
I bet my life that you will laugh.   	I am sure that you will laugh.	I enjoy my life.
The waiting has been endless.     	The waiting has been too long.	The sources of inspiration are seemingly endless.
I almost jumped out of my skin.    	I was very surprised.	A hair just jumped out of my skin.
The house is the size of a postage stamp.  	The house is very small.	These cereals are the size of a postage stamp.
The mall is large enough to have its own zip code.   	The mall is very large.	The fight continues to bring the neighborhood its own zip code.
I'm going to explode.  	I'm going to get upset.	Pentrite can explode without a detonator.
"I'm moving, all my life's in this luggage.  "	"I'm moving, all my stuff's in this luggage."	I've lived here all my life.
This drink is a rocket in a bottle.   	This drink is very energizing.	The rocket was projected to a considerable height.
I would commit murder to have that new phone!  	I really want to have that new phone!	It is wrong to steal or to commit murder.
Her beauty eclipsed the sun.      	Her beauty is noteworthy.	The moon eclipsed the sun.
This room is a mess. It looks like it was hit by a tornado!   	This room is a mess. It looks very untidy!	Your home got hit by a tornado.
You need an elevator to look at him in the eye.     	You need a bench to look at him in the eye.	"My leg is broken, so I need an elevator to access upper floors."
"Cheryl is so moody, she's four seasons in a day.   "	"Cheryl is so moody, she has different moods in a day."	Guest expectations change through the four seasons.
"My love, you are my oxygen.         "	"My love, you are so important."	Commercial airplanes carry a huge tank of oxygen.
"When my parents enrolled me in college, they basically sentenced me to death.  "	"When my parents enrolled me in college, they basically made my life very hard."	Three judges sentenced me to death.
"This steak is so rare, I think I heard it moo.     "	"This steak is so rare, I think it is still raw."	"There was a cow nearby, and I heard it moo."
Our fight has been going on since the beginning of time.  	Our fight has been going on for a long time.	The beginning of time corresponds to a first event.
He tolerated my annoying questions. That man is a saint.  	He tolerated my annoying questions. That man is patient.	A saint is not prayed to.
They will kneel before his talent.     	They will admire his talent.	He stepped down and turned to kneel before the altar.
His laughter shakes the walls.    	His laughter is very loud.	The wind shakes the walls of the tent.
Your room is a jungle!     	Your room is messy!	"Every room is designed to convey a theme, be it a jungle or ancient Rome."
I am so tired I could sleep for a year.   	I am so tired I could sleep for a long time.	I haven't had a job for a year now.
Every flavor is dynamite.      	Every flavor is strong.	They might enquire whether the cargo was dynamite.
She is sinking in a sea of misery.   	She is miserable.	Pirates where sinking in a sea of cold water.
We all cracked up at the joke.    	We all laughed at the joke.	The eggs have cracked up.
